,283531080,1312952369,258899345,28338982,41891309,36720636,41891228,148745748,33171211,21288066,10799058,10799942,21273715,21287874,21287991,27353414,27353422,27429827,27472271,27472278,27489160,27489171,27489174,27489433,27489444,27489837,27511381,28099506,28099530,28807412,29560039,29761329,29761352,29877216,29877245,30255680,30747843,33174128,36720569,36720587,36720613,39580623,39779982,40932415,40932452,41821595,41821641,41821701,41821780,41821894,41822006,41822084,42411314,42411608,43327775,43327865,43347618,43586610,43632326,51173834,51514876,51519006,54140220,81835467,83118361,84490752,84519519,96627863,100297524,100431541,101458357,116117481,116117663,119788177,119788913,119790501,119791624,123906863,140249322,140255956,208316830,245950315,247597780,247597800,247597836,248067191,248209627,248812996,248813018,251053250,251053298,251053408,251059033,253089137,254745660,254747320,254750302,257042823,259407871,259448553
119790501,992,951,1015,865,1077,667,1009,470,320,504,712,675,559,494,531,397,443,716,721,676,428,500,522,516,467,519,659,621,581,344,754,521,668,621,548,759,564,309,769,748,696,867,927,721,730,621,564,554,622,507,589,520,393,407,433,546,274,458,465,531,511,509,261,389,617,117,493,582,631,516,767,270,368,292,259,0,106,611,569,566,827,162,233,330,264,857,687,746,783,794,784,843,820,505,802,784,737,121,215,528
119791624,1195,1116,984,834,1052,740,1017,635,243,473,720,748,623,463,500,489,552,685,690,600,546,688,658,695,602,607,613,634,599,456,723,490,637,596,517,728,801,249,842,821,769,940,1000,699,699,553,496,523,591,476,558,489,316,376,402,515,243,416,388,696,480,478,497,547,586,400,449,551,600,548,736,289,333,488,455,246,0,580,538,535,1064,327,436,299,233,1094,656,819,856,867,857,916,893,474,875,857,968,90,380,497
123906863,1314,1422,696,789,1033,721,998,941,446,94,701,729,604,444,455,613,587,666,671,581,581,669,639,676,637,642,594,615,580,582,704,128,242,577,498,709,782,452,823,802,750,921,981,680,680,534,477,504,572,457,539,470,519,357,369,391,445,397,552,1002,461,459,683,671,86,647,573,87,238,672,404,500,550,699,666,552,544,0,176,173,1045,633,742,475,431,1075,637,800,837,848,838,897,874,323,856,838,949,431,686,452
140249322,1334,1442,716,789,1053,741,1018,961,466,109,721,749,624,464,455,633,607,686,691,601,601,689,659,696,657,662,614,635,600,602,724,68,87,597,518,729,802,472,843,822,770,941,1001,700,700,554,497,524,592,477,559,490,539,377,389,411,449,417,572,1022,481,479,703,691,224,667,593,189,83,692,343,520,570,719,686,572,564,218,0,116,1065,653,762,495,451,1095,657,820,857,868,858,917,894,262,876,858,969,451,706,452
140255956,1289,1397,671,780,1008,696,973,916,421,64,676,704,579,419,446,588,562,641,646,556,556,644,614,651,612,617,569,590,555,557,679,33,165,552,473,684,757,427,798,777,725,896,956,655,655,509,452,479,547,432,514,445,494,332,344,366,440,372,527,977,436,434,658,646,179,622,548,144,161,647,334,475,525,674,641,527,519,173,99,0,1020,608,717,450,406,1050,612,775,812,823,813,872,849,253,831,813,924,406,661,443
208316830,1139,1630,1464,1108,988,481,823,1160,865,953,526,489,667,780,1015,688,666,668,893,755,557,659,672,666,612,648,545,678,643,862,725,970,1084,631,702,730,262,854,583,562,510,681,741,607,651,735,744,852,834,807,852,802,938,758,917,1030,991,764,893,1221,665,857,736,653,1066,738,733,1031,1080,807,1252,815,817,837,804,786,885,1060,1018,1015,0,852,782,1008,947,563,842,560,597,608,598,657,634,1024,616,598,551,900,905,1012
245950315,975,821,1137,987,1146,723,1065,308,389,626,768,731,628,616,653,466,512,833,843,745,497,569,591,585,536,588,728,690,650,413,891,643,790,690,697,896,620,378,825,804,752,923,983,790,834,690,633,676,744,629,711,642,462,529,555,668,396,527,534,401,660,631,330,458,739,233,562,704,753,585,889,339,437,361,328,186,228,733,691,688,883,0,269,452,386,913,809,802,839,850,840,899,876,627,858,840,793,243,85,650
247597780,941,885,1212,1062,1148,634,976,578,387,701,679,642,580,653,728,473,519,785,893,743,449,576,598,592,504,540,698,642,602,411,889,718,865,642,660,894,531,376,736,715,663,834,894,760,804,688,631,726,778,681,761,675,460,638,630,743,471,525,532,639,623,731,337,465,814,252,560,779,828,592,964,337,435,359,326,261,303,808,766,763,794,270,0,527,461,824,859,713,750,761,751,810,787,702,769,751,704,318,323,725
247597800,1278,1199,917,756,1015,703,980,539,263,406,683,711,586,426,422,509,569,648,653,563,563,651,621,658,619,624,576,597,562,476,686,423,537,559,480,691,764,269,805,784,732,903,963,662,662,516,459,486,554,439,521,452,336,339,201,314,294,379,408,779,443,441,492,567,519,456,469,484,533,568,675,309,353,508,475,329,321,513,471,468,1027,410,519,0,83,1057,619,782,819,830,820,879,856,533,838,820,931,208,463,419
