,283531080,1312952369,258899345,28338982,41891309,36720636,41891228,148745748,33171211,21288066,10799058,10799942,21273715,21287874,21287991,27353414,27353422,27429827,27472271,27472278,27489160,27489171,27489174,27489433,27489444,27489837,27511381,28099506,28099530,28807412,29560039,29761329,29761352,29877216,29877245,30255680,30747843,33174128,36720569,36720587,36720613,39580623,39779982,40932415,40932452,41821595,41821641,41821701,41821780,41821894,41822006,41822084,42411314,42411608,43327775,43327865,43347618,43586610,43632326,51173834,51514876,51519006,54140220,81835467,83118361,84490752,84519519,96627863,100297524,100431541,101458357,116117481,116117663,119788177,119788913,119790501,119791624,123906863,140249322,140255956,208316830,245950315,247597780,247597800,247597836,248067191,248209627,248812996,248813018,251053250,251053298,251053408,251059033,253089137,254745660,254747320,254750302,257042823,259407871,259448553
29560039,1016,1578,1108,870,755,428,696,1070,529,604,415,432,322,253,535,488,472,140,271,161,466,388,357,395,444,456,312,333,298,559,0,621,735,263,310,48,489,542,677,632,484,599,834,128,128,216,266,304,241,286,259,275,554,354,565,678,607,379,519,1167,274,409,610,546,717,709,453,682,731,552,903,610,527,728,695,722,714,711,669,666,752,804,865,656,594,782,220,507,544,555,545,604,581,671,581,545,656,601,857,532
29761329,1260,1347,623,648,999,672,940,839,395,23,659,676,566,392,360,578,550,625,617,537,544,632,601,639,600,605,556,577,542,547,659,0,112,568,461,664,733,408,921,876,728,843,1078,635,635,482,425,467,527,405,500,418,461,305,303,325,391,362,518,936,424,407,664,636,138,624,538,103,108,637,282,476,515,680,647,491,483,132,46,33,996,573,679,409,370,1026,583,751,788,799,789,848,825,204,825,789,900,370,626,357
29761352,1397,1474,760,622,973,809,1077,966,538,160,796,813,703,529,334,715,687,762,676,674,681,769,738,776,737,742,693,714,679,684,796,119,0,705,598,801,870,551,1058,1013,865,980,1215,772,772,619,562,604,664,542,637,555,604,442,440,462,365,499,655,1063,561,544,807,773,268,767,675,240,34,774,256,619,629,823,790,618,610,262,91,167,1133,700,806,525,497,1163,642,888,925,936,926,985,962,178,962,926,1037,497,753,331
29877216,927,1406,943,795,666,339,607,898,411,439,326,343,233,175,507,276,217,114,384,185,219,279,271,306,220,214,223,244,209,416,262,456,570,0,124,267,400,424,588,543,395,510,745,144,188,130,139,338,323,208,310,197,436,239,400,513,478,245,401,995,140,331,441,334,552,540,287,517,566,360,738,492,371,559,526,588,542,546,504,501,663,632,618,491,429,693,333,418,455,466,456,515,492,506,492,456,567,429,685,504
29877245,1001,1376,913,765,740,413,681,868,354,409,400,417,275,146,477,275,237,183,355,156,239,299,291,338,240,234,297,249,297,369,312,426,540,110,0,317,474,367,662,617,469,584,819,218,262,101,110,309,294,179,281,168,379,209,370,483,432,215,344,965,61,302,434,333,522,533,240,487,536,339,708,435,324,552,519,581,512,516,474,471,737,602,638,461,399,767,304,492,529,540,530,589,566,476,566,530,641,399,655,474
30255680,1028,1590,1120,910,767,440,708,1082,541,616,427,444,334,265,575,500,484,152,311,173,478,400,369,407,456,468,324,345,310,571,55,633,747,275,322,0,501,554,689,644,496,611,846,140,140,228,278,316,253,298,271,287,566,366,577,690,619,391,531,1179,286,421,622,558,729,721,465,694,743,564,915,622,539,740,707,734,726,723,681,678,764,816,877,668,606,794,260,519,556,567,557,616,593,683,593,557,668,613,869,572
30747843,858,1351,1175,787,726,219,538,843,621,671,257,223,394,507,739,424,403,394,619,481,294,394,407,401,349,385,272,405,370,599,451,688,802,358,435,456,0,612,460,423,275,390,618,333,377,462,471,571,561,516,579,529,665,471,632,745,710,477,630,940,398,566,471,389,784,491,470,749,798,543,970,574,554,599,566,539,616,778,736,733,263,577,516,723,661,291,568,298,335,346,336,395,372,738,372,336,289,631,630,736
33174128,1146,1140,899,712,923,596,864,632,46,395,583,600,453,315,424,292,357,502,544,405,351,466,469,541,407,412,480,515,475,260,558,412,526,436,357,563,626,0,845,800,652,767,1002,534,534,350,293,394,454,339,427,337,112,300,317,430,165,187,192,729,320,389,273,350,508,233,252,473,522,351,657,85,137,289,256,253,272,502,460,457,889,366,385,297,217,919,510,675,712,723,713,772,749,396,749,713,799,159,419,421
36720569,906,1574,1197,774,741,186,364,1066,665,693,360,245,416,529,761,588,539,416,641,503,517,416,429,423,472,536,294,427,392,684,473,710,824,380,457,478,358,678,0,37,94,319,155,355,399,484,493,593,583,538,601,551,690,493,654,767,732,499,655,1163,420,588,638,556,806,714,553,771,820,652,992,746,652,756,723,762,839,800,758,755,621,800,739,745,683,651,590,240,243,232,138,187,203,760,104,294,525,683,853,758
