,259485239,259637765,259846083,259846093,259846179,259846261,265894528,266382478,268022228,275593515,280792458,280824196,280991147,281031258,281031494,281186021,281186157,281257168,281266824,282059796,282059812,287700999,290463911,295548268,304626645,304638452,304648426,304648496,304648587,304656436,305388885,309921630,310419547,310433547,310781491,311596063,311596405,311596434,312023760,312025489,312925796,313929573,316421515,316421519,317097173,317325218,317346622,335023285,335424331,360641402,360643704,360648502,360659795,360796809,360797030,362242416,362654343,364909260,364909282,544465063,566731900,570096127,600161922,600180139,720571230,727678348,739306931,763619010,835957850,835957868,1032261863,1106715264,1222218443,1285911794,1870648636,2286917083,2381601797,2397504086,2422025705,2612038102,3101800431,3113217164,3358672672,3418413364,3418413474,3700957947,3745404186,4085241817,4293691123,4294196112,4574059744,4914899889,5301313588,5315548501,5409647214,6034416208,6533691138,6895353620,6905414381,8321645412
727678348,905,814,844,883,917,908,757,765,663,874,838,836,835,671,841,850,800,790,843,749,681,842,816,883,976,850,895,972,885,1104,392,359,725,584,743,949,937,928,997,996,519,811,512,537,457,528,562,772,735,1019,1060,1045,982,556,594,908,862,1159,1163,411,436,513,805,727,907,0,440,488,708,705,800,817,180,1207,650,453,810,758,218,250,757,972,730,563,580,984,481,939,898,748,498,953,562,14,657,206,866,598,772,315
739306931,811,720,878,917,951,942,662,799,250,461,872,870,869,705,875,884,834,824,877,399,305,828,403,470,1010,884,929,1006,919,1138,108,283,631,499,649,721,709,700,1031,1030,230,687,281,306,362,194,467,806,715,1053,1094,1079,1016,461,499,894,842,864,868,77,205,224,392,314,494,498,0,257,413,410,505,851,678,912,595,487,515,792,287,586,462,677,610,468,485,1018,426,973,603,453,387,987,507,512,315,473,900,543,806,651
763619010,894,803,1033,1072,1106,1097,573,954,419,630,1027,1025,1024,860,1030,1039,989,979,1032,594,500,1023,610,639,1165,1039,1084,1161,1074,1293,214,366,714,582,732,523,511,502,1186,1185,146,867,83,108,246,78,378,961,910,1208,1249,1234,1171,372,410,1089,1037,617,874,184,57,224,599,521,675,595,232,0,419,416,511,1006,775,651,636,642,521,947,401,753,468,683,805,379,396,1173,467,1128,609,459,554,1142,548,609,510,517,1055,584,961,818
835957850,1099,1008,1133,1172,1206,1197,946,1037,275,486,1110,1108,1107,943,1113,1122,1072,1062,1115,526,432,955,466,495,1265,1139,1184,1261,1174,1393,453,571,919,787,937,551,541,633,1286,1285,336,814,486,511,646,379,751,1044,842,1308,1349,1334,1271,745,783,1021,969,461,465,416,459,236,455,377,496,800,482,457,0,7,102,1089,980,509,879,742,153,1030,606,977,151,274,737,752,769,1273,710,1211,271,119,602,1242,791,814,442,722,1138,827,1044,1042
835957868,1102,1011,1136,1175,1209,1200,949,1040,278,489,1113,1111,1110,946,1116,1125,1075,1065,1118,529,435,958,469,498,1268,1142,1187,1264,1177,1396,456,574,922,790,940,542,532,624,1289,1288,339,817,489,514,649,382,754,1047,845,1311,1352,1337,1274,748,786,1024,972,452,456,419,462,239,458,380,501,803,485,460,3,0,93,1092,983,500,882,745,158,1033,609,980,154,265,740,755,772,1276,713,1214,274,124,605,1245,794,817,445,725,1141,830,1047,1045
1032261863,1207,1116,1241,1280,1314,1305,1054,1145,383,594,1218,1216,1215,1051,1221,1230,1180,1170,1223,634,540,1063,574,603,1373,1247,1292,1369,1282,1501,561,679,1027,895,1045,498,488,580,1394,1393,444,922,594,619,754,487,859,1152,950,1416,1457,1442,1379,853,891,1129,1077,408,412,524,567,344,563,485,606,908,590,565,108,103,0,1197,1088,456,987,850,263,1138,714,1085,259,221,845,860,877,1381,818,1319,379,229,710,1350,899,922,550,830,1246,935,1152,1150
1106715264,1449,1358,488,530,376,279,1301,390,906,1073,296,264,263,324,269,278,126,116,272,824,756,368,958,1085,446,414,382,439,340,588,897,903,1269,1167,1287,1639,1629,1472,599,466,1019,900,1056,1081,1001,983,1106,247,653,621,575,543,452,1100,1138,425,589,1549,1553,866,980,1024,938,802,1040,835,895,1032,1098,1095,1190,0,1015,1597,1194,357,1200,466,754,752,1147,1362,648,1107,1124,531,1025,563,1288,1138,683,523,1106,874,732,920,294,1142,247,798
1222218443,1048,957,1032,1071,1105,1096,934,953,840,1051,1026,1024,1023,859,1029,1038,988,978,1031,910,842,1030,993,1060,1164,1038,1083,1160,1073,1292,569,536,868,736,886,1126,1114,1105,1185,1184,696,972,689,714,634,705,739,960,923,1207,1248,1233,1170,733,771,1096,1050,1336,1340,588,613,690,982,904,1084,177,617,665,885,882,977,1005,0,1384,827,641,987,946,395,438,934,1149,918,740,757,1172,658,1127,1075,925,659,1141,739,180,818,383,1054,775,960,503
1285911794,1321,1230,1685,1724,1758,1749,1032,1589,827,1038,1662,1660,1659,1495,1665,1674,1624,1614,1667,1078,984,1507,1018,1047,1817,1691,1736,1813,1726,1945,1005,1123,1141,1009,1159,131,121,213,1838,1837,888,1366,562,579,705,666,837,1596,1394,1860,1901,1886,1823,831,869,1573,1521,60,85,968,639,788,1007,929,1050,1044,1034,657,552,547,489,1641,1224,0,1095,1294,707,1582,850,1221,703,268,1289,838,855,1825,926,1763,823,673,1154,1794,1007,1058,994,1274,1690,1043,1596,1286
1870648636,694,603,840,879,913,904,523,761,537,748,834,832,831,667,837,846,796,786,839,686,592,838,690,757,972,846,891,968,881,1100,220,239,514,382,532,715,703,694,993,992,347,782,340,365,223,337,328,768,731,1015,1056,1041,978,322,360,904,858,987,991,285,264,341,679,601,781,402,314,316,536,533,628,813,582,1035,0,449,638,754,208,579,585,800,726,329,346,980,381,935,726,576,469,949,462,416,602,377,862,498,768,644
2286917083,1043,952,391,430,464,455,895,312,535,702,385,383,382,218,388,397,347,337,390,453,385,389,587,714,523,397,442,519,432,651,491,497,863,761,881,1268,1258,1066,544,543,613,529,650,675,595,577,700,319,282,566,607,592,529,694,732,455,409,1178,1182,460,574,607,567,431,669,429,489,626,727,724,819,364,609,1226,788,0,829,305,348,346,776,991,277,701,718,531,619,486,917,767,312,500,700,468,361,514,413,736,319,392
2381601797,1187,1096,1221,1260,1294,1285,1034,1125,363,534,1198,1196,1195,1031,1201,1210,1160,1150,1203,614,520,1043,594,506,1353,1227,1272,1349,1262,1481,541,659,1007,875,1025,715,705,797,1374,1373,424,902,574,599,734,467,839,1132,930,1396,1437,1422,1359,833,871,1109,1057,625,629,504,547,324,525,465,439,888,570,545,157,171,266,1177,1068,673,967,830,0,1118,694,1065,239,438,825,840,857,1361,798,1299,296,62,690,1330,879,902,530,810,1226,915,1132,1130
2397504086,1301,1210,690,729,652,555,1153,75,758,925,211,238,311,150,243,343,376,354,208,676,608,612,810,937,722,690,658,715,616,864,749,755,1121,1019,1139,1491,1481,1324,843,742,871,752,908,933,853,835,958,377,505,865,851,819,728,952,990,678,632,1401,1405,718,832,876,790,654,892,687,747,884,950,947,1042,422,867,1449,1046,294,1052,0,606,604,999,1214,500,959,976,807,877,181,1140,990,535,799,958,726,584,772,359,994,377,650
2422025705,695,604,632,671,705,696,547,553,447,658,626,624,623,459,629,638,588,578,631,512,444,630,600,667,764,638,683,760,673,892,182,149,515,413,533,739,727,718,785,784,309,574,302,327,247,312,352,560,523,807,848,833,770,346,384,696,650,949,953,195,226,303,589,511,691,234,224,278,498,495,590,605,414,997,440,241,600,546,0,418,547,762,518,353,370,772,271,727,688,538,261,741,352,248,420,209,654,388,560,483
2612038102,1098,1007,816,855,889,880,950,737,807,1018,810,808,807,643,813,822,772,762,815,788,720,814,922,1027,948,822,867,944,857,1076,586,552,918,816,936,1142,1130,1121,969,968,708,850,705,730,650,672,755,744,707,991,1032,1017,954,749,787,880,834,1348,1352,555,629,702,902,766,1004,288,584,681,897,894,989,789,453,1396,843,425,999,730,419,0,946,1161,702,756,773,956,674,911,1087,937,537,925,755,284,696,475,838,791,744,129
