,259485239,259637765,259846083,259846093,259846179,259846261,265894528,266382478,268022228,275593515,280792458,280824196,280991147,281031258,281031494,281186021,281186157,281257168,281266824,282059796,282059812,287700999,290463911,295548268,304626645,304638452,304648426,304648496,304648587,304656436,305388885,309921630,310419547,310433547,310781491,311596063,311596405,311596434,312023760,312025489,312925796,313929573,316421515,316421519,317097173,317325218,317346622,335023285,335424331,360641402,360643704,360648502,360659795,360796809,360797030,362242416,362654343,364909260,364909282,544465063,566731900,570096127,600161922,600180139,720571230,727678348,739306931,763619010,835957850,835957868,1032261863,1106715264,1222218443,1285911794,1870648636,2286917083,2381601797,2397504086,2422025705,2612038102,3101800431,3113217164,3358672672,3418413364,3418413474,3700957947,3745404186,4085241817,4293691123,4294196112,4574059744,4914899889,5301313588,5315548501,5409647214,6034416208,6533691138,6895353620,6905414381,8321645412
51514876,807,716,634,673,707,649,660,532,533,693,538,526,525,434,531,540,493,483,543,465,397,623,600,705,752,640,685,762,675,894,319,267,627,533,645,852,840,831,787,772,422,537,415,440,360,404,465,471,516,809,850,835,758,459,497,689,643,1065,1069,287,339,416,566,443,652,287,313,391,613,610,705,510,467,1113,504,222,750,528,126,314,662,877,478,466,483,774,383,711,816,675,224,743,465,301,367,295,556,500,471,379
51519006,790,699,810,849,883,825,643,708,590,800,714,702,701,610,707,716,669,659,719,672,604,799,786,809,928,816,861,938,851,1070,283,225,610,491,628,835,823,814,963,948,405,744,398,423,343,395,448,647,692,985,1026,1011,934,442,480,865,819,1048,1052,344,322,399,761,650,847,220,370,374,596,593,688,686,400,1096,487,398,733,704,173,452,645,860,686,449,466,950,366,887,799,658,431,919,448,234,574,166,732,483,647,517
54140220,995,904,855,894,928,894,832,777,199,409,783,771,770,679,776,785,738,728,788,335,230,710,349,418,973,861,906,983,896,1115,291,466,815,684,833,835,825,917,1008,993,326,569,463,488,532,376,637,716,597,1030,1071,1056,979,631,669,776,724,745,749,259,387,226,324,260,410,655,229,439,293,290,385,755,835,793,718,443,430,773,445,752,342,557,492,638,655,995,597,956,496,355,305,964,679,669,221,597,801,714,716,817
81835467,995,904,756,795,829,748,848,631,401,561,637,625,624,533,630,639,592,582,642,333,265,564,468,573,874,762,807,884,797,1016,425,455,815,721,833,1152,1142,1019,909,894,546,405,597,622,548,510,653,570,451,931,972,957,880,647,685,630,578,1062,1066,393,521,543,434,311,520,515,419,573,610,607,702,609,695,1110,692,344,747,627,314,550,659,874,346,654,671,896,571,810,813,672,85,865,653,529,235,472,655,688,570,615
83118361,474,383,1032,1071,1105,1047,638,930,710,920,936,924,923,832,929,938,891,881,941,892,787,1021,906,929,1150,1038,1083,1160,1073,1292,403,433,399,307,270,936,924,915,1185,1170,525,966,518,543,444,515,324,869,914,1207,1248,1233,1156,437,475,1087,1041,1168,1172,464,442,519,881,817,967,626,490,494,716,713,808,908,806,1216,356,620,853,926,395,772,765,980,908,444,461,1172,235,1109,919,778,653,1141,317,640,778,568,954,127,869,837
84490752,973,882,942,981,991,894,810,777,182,392,783,771,770,679,776,785,738,728,788,335,230,710,349,401,1062,948,997,1054,955,1204,269,444,793,662,811,799,789,881,1095,1082,290,569,441,466,510,333,615,716,597,1117,1158,1159,1068,609,647,776,724,709,713,237,365,190,324,260,410,633,207,417,257,254,349,755,813,757,696,535,394,773,423,748,306,521,492,616,633,1082,575,956,460,319,384,1051,657,647,221,575,801,692,716,813
84519519,1006,915,813,852,886,828,859,711,432,642,717,705,704,613,710,719,672,662,722,460,392,691,582,651,931,819,864,941,854,1073,361,466,826,732,844,1068,1058,1150,966,951,482,532,533,558,559,446,664,650,578,988,1029,1014,937,658,696,757,705,978,982,329,457,459,557,493,643,557,355,509,526,523,618,689,737,1026,703,401,663,707,325,561,575,790,473,665,682,953,582,890,729,588,212,922,664,571,362,499,735,699,650,626
96627863,542,451,989,1028,1062,1004,595,887,667,877,893,881,880,789,886,895,848,838,898,849,744,978,863,886,1107,995,1040,1117,1030,1249,360,390,362,270,380,893,881,872,1142,1127,482,923,475,500,401,472,281,826,871,1164,1205,1190,1113,394,432,1044,998,1125,1129,421,399,476,838,774,924,583,447,451,673,670,765,865,763,1173,313,577,810,883,352,729,722,937,865,401,418,1129,192,1066,876,735,610,1098,274,597,735,525,911,151,826,794
100297524,438,347,1091,1130,1164,1106,697,989,769,979,995,983,982,891,988,997,950,940,1000,951,846,1080,965,988,1209,1097,1142,1219,1132,1351,462,341,258,166,276,995,983,974,1244,1229,584,1025,577,602,503,574,383,928,973,1266,1307,1292,1215,496,534,1146,1100,1227,1231,523,501,578,940,876,1026,598,549,553,775,772,867,967,735,1275,415,679,912,985,454,831,824,1039,967,503,520,1231,294,1168,978,837,712,1200,376,601,837,602,1013,317,928,896
